card_name,benefit_name,benefit_value,cadence,reset_timing,enrollment_required,requires_setup,track_in_memento,source_url,notes,card_status,issuer,card_type,card_code,benefit_code
Amex Business Platinum,Pay With Points Airline Rebate,35% points back up to 1M points/year,annual,calendar year,no,no,no,https://www.americanexpress.com/us/credit-cards/business/business-credit-cards/american-express-business-platinum-credit-card-amex/,Points rebate not a use-it-or-lose-it credit; passive,active,amex,business,amex_business_platinum,amex_business_platinum_pay_with_points_airline_rebate
Amex Business Platinum,$250K Spend - Amex Travel Flight Credit,Up to $1200,annual,earned in year N used in year N+1,no,yes,later,https://www.americanexpress.com/en-us/business/trends-and-insights/articles/unlock-benefits-bplat/,Earned by hitting $250K spend; usable following calendar year - cross-year model,active,amex,business,amex_business_platinum,amex_business_platinum_250k_spend_amex_travel_flight_credit
Amex Business Platinum,$250K Spend - American Express One AP Credit,Up to $2400,annual,earned in year N used in year N+1,no,yes,later,https://www.americanexpress.com/en-us/business/trends-and-insights/articles/unlock-benefits-bplat/,Earned by hitting $250K spend; usable following calendar year - cross-year model,active,amex,business,amex_business_platinum,amex_business_platinum_250k_spend_american_express_one_ap_credit
Amex Gold,Dining Credit (Grubhub/Cheesecake/Goldbelly/Wine.com/Five Guys),Up to $10/month ($120/year),monthly,calendar month,yes,yes,yes,https://www.americanexpress.com/us/credit-cards/card/gold-card/,Eligible purchases at participating partners only,active,amex,personal,amex_gold,amex_gold_dining_credit_grubhub_cheesecake_goldbelly_wine_com_five_guys
Amex Gold,Uber Cash,$10/month ($120/year),monthly,calendar month,yes,yes,yes,https://www.americanexpress.com/us/credit-cards/card/gold-card/,Must add Gold Card to Uber account and select Amex at checkout,active,amex,personal,amex_gold,amex_gold_uber_cash
Amex Gold,Resy Credit,Up to $50 semiannually ($100/year),semiannual,Jan-Jun / Jul-Dec,yes,yes,yes,https://www.americanexpress.com/us/credit-cards/card/gold-card/,U.S. Resy restaurants or eligible Resy purchases,active,amex,personal,amex_gold,amex_gold_resy_credit
Amex Gold,Dunkin' Credit,Up to $7/month ($84/year),monthly,calendar month,yes,yes,yes,https://www.americanexpress.com/us/credit-cards/card/gold-card/,U.S. Dunkin' locations only,active,amex,personal,amex_gold,amex_gold_dunkin_credit
Amex Gold,Hotel Collection Credit,$100 per stay,per_booking,per qualifying booking,no,yes,later,https://www.americanexpress.com/us/credit-cards/card/gold-card/,Per-booking perk on 2+ night prepaid stays via Amex Travel; no annual cap,active,amex,personal,amex_gold,amex_gold_hotel_collection_credit
Amex Business Gold,Flexible Business Credit (FedEx/Grubhub/Office Supply),Up to $20/month ($240/year),monthly,calendar month,yes,yes,yes,https://www.americanexpress.com/us/credit-cards/business/business-credit-cards/american-express-business-gold-card-amex/,Eligible U.S. purchases at FedEx Grubhub or Office Supply Stores,active,amex,business,amex_business_gold,amex_business_gold_flexible_business_credit_fedex_grubhub_office_supply
Amex Business Gold,Walmart+ Monthly Membership Credit,Up to $12.95/month + tax,monthly,calendar month,no,yes,yes,https://www.americanexpress.com/us/credit-cards/business/business-credit-cards/american-express-business-gold-card-amex/,Must pay monthly Walmart+ membership with card; Plus Ups not eligible,active,amex,business,amex_business_gold,amex_business_gold_walmart_monthly_membership_credit
Amex Green,CLEAR Plus Credit,Up to $209/year,annual,calendar year,no,yes,yes,https://www.americanexpress.com/en-us/credit-cards/credit-intel/amex-green-vs-gold/,Covers full CLEAR Plus membership; subject to auto-renewal,active,amex,personal,amex_green,amex_green_clear_plus_credit
Blue Cash Preferred,Disney Streaming Credit,Up to $10/month ($120/year),monthly,calendar month,yes,yes,yes,https://www.americanexpress.com/en-us/account/get-started/bcp/uncover-your-benefits,Disney+/Hulu/ESPN+ subscription on U.S. sites; no minimum purchase per current marketing,active,amex,personal,amex_blue_cash_preferred,amex_blue_cash_preferred_disney_streaming_credit
Blue Cash Everyday,Disney Streaming Credit,Up to $7/month ($84/year),monthly,calendar month,yes,yes,yes,https://www.americanexpress.com/us/credit-cards/card-application/apply/prospect/terms/blue-cash-everyday-credit-card/26129-10-0/?print,Disney+/Hulu/ESPN+ subscription on U.S. sites,active,amex,personal,amex_blue_cash_everyday,amex_blue_cash_everyday_disney_streaming_credit
Blue Cash Everyday,Home Chef Credit,Up to $15/month ($180/year),monthly,calendar month,yes,yes,yes,https://www.americanexpress.com/us/credit-cards/card-application/apply/prospect/terms/blue-cash-everyday-credit-card/26129-10-0/?print,Must purchase via homechef.com/blue-cash-everyday; meal kit subscriptions only,active,amex,personal,amex_blue_cash_everyday,amex_blue_cash_everyday_home_chef_credit
Cash Magnet,,,,,,,,https://www.americanexpress.com/us/credit-cards/card/cash-magnet/,No trackable use-it-or-lose-it credits; flat 1.5% cashback only,no_trackable_benefits,amex,personal,amex_cash_magnet,
Amex EveryDay,,,,,,,,https://global.americanexpress.com/card-benefits/view-all/amex-everyday,No trackable use-it-or-lose-it credits; closed to new applicants but held by existing Card Members,no_trackable_benefits,amex,personal,amex_everyday,
Amex EveryDay Preferred,,,,,,,,https://global.americanexpress.com/card-benefits/view-all/amex-everyday-preferred,No trackable use-it-or-lose-it credits; closed to new applicants but held by existing Card Members,no_trackable_benefits,amex,personal,amex_everyday_preferred,
Delta SkyMiles Reserve,Resy Credit,Up to $20/month ($240/year),monthly,calendar month,yes,yes,yes,https://www.americanexpress.com/en-us/credit-cards/credit-intel/delta-reserve-card-benefits/,Eligible purchases at U.S. Resy restaurants,active,amex,personal,amex_delta_skymiles_reserve,amex_delta_skymiles_reserve_resy_credit
Delta SkyMiles Reserve,Rideshare Credit,Up to $10/month ($120/year),monthly,calendar month,yes,yes,yes,https://www.americanexpress.com/en-us/credit-cards/credit-intel/delta-reserve-card-benefits/,U.S. rideshare with select providers,active,amex,personal,amex_delta_skymiles_reserve,amex_delta_skymiles_reserve_rideshare_credit
Delta SkyMiles Reserve,Companion Certificate,1 cert/year,annual,card renewal anniversary,no,yes,yes,https://www.americanexpress.com/us/credit-cards/card-application/apply/prospect/terms/delta-skymiles-reserve-american-express-card/26129-10-0,Domestic/Caribbean/Central America round-trip; pay taxes/fees ($22-$250); issued in renewal month,active,amex,personal,amex_delta_skymiles_reserve,amex_delta_skymiles_reserve_companion_certificate
Delta SkyMiles Reserve,Global Entry / TSA PreCheck Credit,$120 (GE) or up to $85 (PreCheck),multi_year,every 4 years,no,yes,yes,https://www.americanexpress.com/en-us/account/get-started/additional-card-member/deltareserve,One application fee credit per 4-year period,active,amex,personal,amex_delta_skymiles_reserve,amex_delta_skymiles_reserve_global_entry_tsa_precheck_credit
Delta SkyMiles Platinum,Resy Credit,Up to $10/month ($120/year),monthly,calendar month,yes,yes,yes,https://www.americanexpress.com/en-us/credit-cards/credit-intel/types-of-delta-credit-cards/,Eligible Resy purchases,active,amex,personal,amex_delta_skymiles_platinum,amex_delta_skymiles_platinum_resy_credit
Delta SkyMiles Platinum,Rideshare Credit,Up to $10/month ($120/year),monthly,calendar month,yes,yes,yes,https://www.americanexpress.com/en-us/credit-cards/credit-intel/types-of-delta-credit-cards/,U.S. rideshare with select providers,active,amex,personal,amex_delta_skymiles_platinum,amex_delta_skymiles_platinum_rideshare_credit
Delta SkyMiles Platinum,Delta Stays Credit,Up to $150/year,annual,calendar year,no,yes,yes,https://www.americanexpress.com/en-us/credit-cards/credit-intel/delta-credit-card-benefits/,Prepaid hotels/vacation rentals via Delta Stays on delta.com,active,amex,personal,amex_delta_skymiles_platinum,amex_delta_skymiles_platinum_delta_stays_credit
Delta SkyMiles Platinum,Companion Certificate,1 cert/year,annual,card renewal anniversary,no,yes,yes,https://www.americanexpress.com/en-us/benefits/travel/resources/delta-skymiles-platinum/,Delta Main only; domestic/Caribbean/Mexico/Central America; pay taxes/fees ($22-$250),active,amex,personal,amex_delta_skymiles_platinum,amex_delta_skymiles_platinum_companion_certificate
Delta SkyMiles Gold,Delta Stays Credit,Up to $100/year,annual,calendar year,no,yes,yes,https://www.americanexpress.com/us/credit-cards/card-application/apply/prospect/terms/delta-skymiles-gold-american-express-card/26129-10-0,Prepaid hotels/vacation rentals via delta.com/stays,active,amex,personal,amex_delta_skymiles_gold,amex_delta_skymiles_gold_delta_stays_credit
Delta SkyMiles Gold,$200 Delta Flight Credit (after $10K spend),$200/year,annual,calendar year,no,yes,later,https://www.americanexpress.com/us/credit-cards/card-application/apply/prospect/terms/delta-skymiles-gold-american-express-card/26129-10-0,Threshold: spend $10K in eligible purchases in calendar year to unlock $200 Delta eCredit,active,amex,personal,amex_delta_skymiles_gold,amex_delta_skymiles_gold_200_delta_flight_credit_after_10k_spend
Delta SkyMiles Reserve Business,Resy Credit,Up to $20/month ($240/year),monthly,calendar month,yes,yes,yes,https://www.americanexpress.com/en-us/business/credit-cards/delta-skymiles-reserve/,Eligible purchases at U.S. Resy restaurants,active,amex,business,amex_delta_skymiles_reserve_business,amex_delta_skymiles_reserve_business_resy_credit
Delta SkyMiles Reserve Business,Rideshare Credit,Up to $10/month ($120/year),monthly,calendar month,yes,yes,yes,https://www.americanexpress.com/en-us/business/credit-cards/delta-skymiles-reserve/,U.S. rideshare with select providers,active,amex,business,amex_delta_skymiles_reserve_business,amex_delta_skymiles_reserve_business_rideshare_credit
Delta SkyMiles Reserve Business,Delta Stays Credit,Up to $250/year,annual,calendar year,no,yes,yes,https://www.americanexpress.com/en-us/business/credit-cards/delta-skymiles-reserve/,Prepaid hotels/vacation rentals via Delta Stays on delta.com,active,amex,business,amex_delta_skymiles_reserve_business,amex_delta_skymiles_reserve_business_delta_stays_credit
Delta SkyMiles Reserve Business,Companion Certificate,1 cert/year,annual,card renewal anniversary,no,yes,yes,https://www.americanexpress.com/us/credit-cards/card-application/apply/prospect/terms/delta-skymiles-reserve-american-express-card/26129-10-0,Domestic/Caribbean/Central America round-trip; pay taxes/fees ($22-$250); issued in renewal month,active,amex,business,amex_delta_skymiles_reserve_business,amex_delta_skymiles_reserve_business_companion_certificate
Delta SkyMiles Platinum Business,Resy Credit,Up to $10/month ($120/year),monthly,calendar month,yes,yes,yes,https://www.americanexpress.com/en-us/business/credit-cards/delta-skymiles-platinum/,Eligible Resy purchases,active,amex,business,amex_delta_skymiles_platinum_business,amex_delta_skymiles_platinum_business_resy_credit
Delta SkyMiles Platinum Business,Rideshare Credit,Up to $10/month ($120/year),monthly,calendar month,yes,yes,yes,https://www.americanexpress.com/en-us/business/credit-cards/delta-skymiles-platinum/,U.S. rideshare with select providers,active,amex,business,amex_delta_skymiles_platinum_business,amex_delta_skymiles_platinum_business_rideshare_credit
Delta SkyMiles Platinum Business,Delta Stays Credit,Up to $200/year,annual,calendar year,no,yes,yes,https://www.americanexpress.com/en-us/business/credit-cards/delta-skymiles-platinum/,Prepaid hotels/vacation rentals via Delta Stays on delta.com,active,amex,business,amex_delta_skymiles_platinum_business,amex_delta_skymiles_platinum_business_delta_stays_credit
Delta SkyMiles Platinum Business,Companion Certificate,1 cert/year,annual,card renewal anniversary,no,yes,yes,https://www.americanexpress.com/en-us/business/credit-cards/delta-skymiles-platinum/,Delta Main domestic/Caribbean/Mexico/Central America; pay taxes/fees ($22-$250),active,amex,business,amex_delta_skymiles_platinum_business,amex_delta_skymiles_platinum_business_companion_certificate
Delta SkyMiles Gold Business,Delta Stays Credit,Up to $150/year,annual,calendar year,no,yes,yes,https://www.americanexpress.com/en-us/business/credit-cards/delta-skymiles-gold/,Prepaid hotels/vacation rentals via Delta Stays on delta.com,active,amex,business,amex_delta_skymiles_gold_business,amex_delta_skymiles_gold_business_delta_stays_credit
Delta SkyMiles Gold Business,$200 Delta Flight Credit (after $10K spend),$200/year,annual,calendar year,no,yes,later,https://www.americanexpress.com/en-us/business/credit-cards/delta-skymiles-gold/,Threshold: spend $10K in eligible purchases in calendar year to unlock $200 Delta eCredit,active,amex,business,amex_delta_skymiles_gold_business,amex_delta_skymiles_gold_business_200_delta_flight_credit_after_10k_spend
Delta SkyMiles Blue,,,,,,,,https://www.americanexpress.com/en-us/credit-cards/credit-intel/types-of-delta-credit-cards/,No trackable use-it-or-lose-it credits; 20% in-flight rebate and Pay With Miles only,no_trackable_benefits,amex,personal,amex_delta_skymiles_blue,
Hilton Honors Aspire,Hilton Resort Credit,Up to $200 semiannually ($400/year),semiannual,Jan-Jun / Jul-Dec,no,yes,yes,https://www.americanexpress.com/us/credit-cards/card-application/apply/prospect/terms/hilton-honors-aspire-credit-card/25330-10-0,Eligible purchases at participating Hilton Resorts,active,amex,personal,amex_hilton_honors_aspire,amex_hilton_honors_aspire_hilton_resort_credit
Hilton Honors Aspire,Flight Credit,Up to $50/quarter ($200/year),quarterly,calendar quarter,no,yes,yes,https://www.americanexpress.com/en-us/credit-cards/credit-intel/amex-hilton-cards/,Flights booked directly with airline or via amextravel.com,active,amex,personal,amex_hilton_honors_aspire,amex_hilton_honors_aspire_flight_credit
Hilton Honors Aspire,CLEAR Plus Credit,Up to $209/year,annual,calendar year,no,yes,yes,https://www.americanexpress.com/en-us/credit-cards/credit-intel/amex-hilton-cards/,Covers full CLEAR Plus membership; subject to auto-renewal,active,amex,personal,amex_hilton_honors_aspire,amex_hilton_honors_aspire_clear_plus_credit
Hilton Honors Aspire,Annual Free Night Reward,1 night/year,annual,card renewal anniversary,no,yes,yes,https://www.americanexpress.com/us/credit-cards/card-application/apply/prospect/terms/hilton-honors-aspire-credit-card/25330-10-0,Issued each year upon card renewal,active,amex,personal,amex_hilton_honors_aspire,amex_hilton_honors_aspire_annual_free_night_reward
Hilton Honors Aspire,Free Night Reward (after $30K spend),1 night/year,annual,calendar year,no,yes,later,https://www.americanexpress.com/en-us/credit-cards/credit-intel/amex-hilton-cards/,Threshold: $30K calendar-year spend unlocks bonus night,active,amex,personal,amex_hilton_honors_aspire,amex_hilton_honors_aspire_free_night_reward_after_30k_spend
Hilton Honors Aspire,Free Night Reward (after $60K spend),1 night/year,annual,calendar year,no,yes,later,https://www.americanexpress.com/en-us/credit-cards/credit-intel/amex-hilton-cards/,Threshold: additional $30K (total $60K) calendar-year spend unlocks 2nd bonus night,active,amex,personal,amex_hilton_honors_aspire,amex_hilton_honors_aspire_free_night_reward_after_60k_spend
Hilton Honors Surpass,Hilton Credit,Up to $50/quarter ($200/year),quarterly,calendar quarter,no,yes,yes,https://www.americanexpress.com/us/credit-cards/card/hilton-honors-surpass/,Eligible purchases made directly with Hilton portfolio properties,active,amex,personal,amex_hilton_honors_surpass,amex_hilton_honors_surpass_hilton_credit
Hilton Honors Surpass,Free Night Reward (after $15K spend),1 night/year,annual,calendar year,no,yes,later,https://www.americanexpress.com/en-us/account/get-started/hiltonsurpass/uncover-your-benefits,Threshold: $15K calendar-year spend unlocks Free Night Reward,active,amex,personal,amex_hilton_honors_surpass,amex_hilton_honors_surpass_free_night_reward_after_15k_spend
Hilton Honors Business,Hilton Credit,Up to $60/quarter ($240/year),quarterly,calendar quarter,no,yes,yes,https://www.americanexpress.com/us/credit-cards/business/business-credit-cards/hilton-honors/,Eligible purchases made directly with Hilton portfolio properties,active,amex,business,amex_hilton_honors_business,amex_hilton_honors_business_hilton_credit
Hilton Honors Business,Free Night Reward (after $15K spend),1 night/year,annual,calendar year,no,yes,later,https://www.americanexpress.com/us/credit-cards/business/business-credit-cards/hilton-honors/,Threshold: $15K calendar-year spend unlocks Free Night Reward,active,amex,business,amex_hilton_honors_business,amex_hilton_honors_business_free_night_reward_after_15k_spend
Hilton Honors Business,Free Night Reward (after $60K spend),1 night/year,annual,calendar year,no,yes,later,https://www.americanexpress.com/us/credit-cards/business/business-credit-cards/hilton-honors/,Threshold: additional $45K (total $60K) calendar-year spend unlocks 2nd Free Night,active,amex,business,amex_hilton_honors_business,amex_hilton_honors_business_free_night_reward_after_60k_spend
Hilton Honors,,,,,,,,https://www.americanexpress.com/us/credit-cards/card/hilton-honors/,No trackable use-it-or-lose-it credits; only Silver status and spend-based Gold status path,no_trackable_benefits,amex,personal,amex_hilton_honors,
Marriott Bonvoy Brilliant,Dining Credit,Up to $25/month ($300/year),monthly,calendar month,no,yes,yes,https://www.americanexpress.com/us/credit-cards/card-application/apply/prospect/terms/marriott-bonvoy-brilliant-card/26129-10-0,"Eligible restaurant purchases worldwide; excludes bars, nightclubs, grocery, etc.",active,amex,personal,amex_marriott_bonvoy_brilliant,amex_marriott_bonvoy_brilliant_dining_credit
Marriott Bonvoy Brilliant,Annual Free Night Award,1 night/year (up to 85K points),annual,card renewal anniversary,no,yes,yes,https://www.americanexpress.com/us/credit-cards/card/marriott-bonvoy-brilliant/,Issued each year after card renewal,active,amex,personal,amex_marriott_bonvoy_brilliant,amex_marriott_bonvoy_brilliant_annual_free_night_award
Marriott Bonvoy Brilliant,Global Entry / TSA PreCheck Credit,$120 (GE) or up to $85 (PreCheck),multi_year,every 4 years,no,yes,yes,https://www.americanexpress.com/us/credit-cards/card/marriott-bonvoy-brilliant/,One application fee credit per 4-year period,active,amex,personal,amex_marriott_bonvoy_brilliant,amex_marriott_bonvoy_brilliant_global_entry_tsa_precheck_credit
Marriott Bonvoy Business,Annual Free Night Award,1 night/year (up to 35K points),annual,card renewal anniversary,no,yes,yes,https://www.americanexpress.com/us/credit-cards/business/business-credit-cards/amex-marriott-bonvoy-business-credit-card/,Issued each year after card renewal month,active,amex,business,amex_marriott_bonvoy_business,amex_marriott_bonvoy_business_annual_free_night_award
Marriott Bonvoy Business,Additional Free Night Award (after $60K spend),1 night/year (up to 35K points),annual,calendar year,no,yes,later,https://www.americanexpress.com/us/credit-cards/business/business-credit-cards/amex-marriott-bonvoy-business-credit-card/,Threshold: $60K calendar-year spend unlocks 2nd Free Night,active,amex,business,amex_marriott_bonvoy_business,amex_marriott_bonvoy_business_additional_free_night_award_after_60k_spend
Hilton Honors Aspire,Waldorf Astoria / Conrad Property Credit,$100 per booking,per_booking,per qualifying booking,no,yes,later,https://www.americanexpress.com/us/credit-cards/card-application/apply/prospect/terms/hilton-honors-aspire-credit-card/25330-10-0,Per-stay credit on 2-night minimum bookings at Waldorf Astoria or Conrad properties; no annual cap,active,amex,personal,amex_hilton_honors_aspire,amex_hilton_honors_aspire_waldorf_astoria_conrad_property_credit
Marriott Bonvoy Brilliant,Ritz-Carlton / St. Regis Property Credit,$100 per booking,per_booking,per qualifying booking,no,yes,later,https://www.americanexpress.com/us/credit-cards/card-application/apply/prospect/terms/marriott-bonvoy-brilliant-card/26129-10-0,Per-stay credit on 2-night minimum bookings using Luxury Credit Card Rate at Ritz-Carlton or St. Regis; no annual cap,active,amex,personal,amex_marriott_bonvoy_brilliant,amex_marriott_bonvoy_brilliant_ritz_carlton_st_regis_property_credit
Blue Business Plus,,,,,,,,https://www.americanexpress.com/us/credit-cards/business/business-credit-cards/american-express-blue-business-plus-credit-card-amex/,No trackable use-it-or-lose-it credits; 2X Membership Rewards on first $50K/year only,no_trackable_benefits,amex,business,amex_blue_business_plus,
Blue Business Cash,,,,,,,,https://www.americanexpress.com/en-us/business/credit-cards/blue-business-cash/,No trackable use-it-or-lose-it credits; 2% cashback on first $50K/year only,no_trackable_benefits,amex,business,amex_blue_business_cash,
Business Green Rewards,,,,,,,,https://www.americanexpress.com/us/credit-cards/business/business-credit-cards/,No trackable use-it-or-lose-it credits; charge card with 2X on Amex Travel only,no_trackable_benefits,amex,business,amex_business_green_rewards,
Amex Platinum,Uber Cash,$15/month + $20 December bonus ($200/year),monthly,calendar month,yes,yes,yes,https://www.americanexpress.com/en-us/credit-cards/credit-intel/how-does-the-american-express-platinum-uber-credit-work/,Add card to Uber account; U.S. rides and orders only.,active,amex,personal,amex_platinum,amex_platinum_uber_cash
Amex Platinum,Digital Entertainment Credit,$25/month ($300/year),monthly,calendar month,yes,yes,yes,https://www.americanexpress.com/en-us/credit-cards/credit-intel/how-does-the-amex-platinum-digital-entertainment-credit-work/,Eligible U.S. partners only; direct purchases required.,active,amex,personal,amex_platinum,amex_platinum_digital_entertainment_credit
Amex Platinum,Walmart+ Membership Credit,Up to $12.95/month + tax (up to $155/year),monthly,calendar month,no,yes,yes,https://www.americanexpress.com/en-us/credit-cards/credit-intel/american-express-platinum-shopping-benefits/,Monthly membership only; Plus Ups excluded.,active,amex,personal,amex_platinum,amex_platinum_walmart_membership_credit
Amex Platinum,Equinox Credit,Up to $300/year,annual,calendar year,yes,yes,yes,https://www.americanexpress.com/en-us/credit-cards/credit-intel/american-express-platinum-shopping-benefits/,"Modeling question: backend currently stores this as monthly, but the public benefit is an annual cap.",active,amex,personal,amex_platinum,amex_platinum_equinox_credit
Amex Platinum,lululemon Credit,$75/quarter ($300/year),quarterly,calendar quarter,yes,yes,yes,https://www.americanexpress.com/en-us/credit-cards/credit-intel/american-express-platinum-shopping-benefits/,Eligible U.S. lululemon stores excluding outlets and lululemon.com.,active,amex,personal,amex_platinum,amex_platinum_lululemon_credit
Amex Platinum,Resy Credit,$100/quarter ($400/year),quarterly,calendar quarter,yes,yes,yes,https://www.americanexpress.com/en-us/credit-cards/credit-intel/resy-credit/,Eligible U.S. Resy restaurants and other eligible Resy purchases.,active,amex,personal,amex_platinum,amex_platinum_resy_credit
Amex Platinum,Saks Fifth Avenue Credit,$50 semiannually ($100/year),semiannual,Jan-Jun / Jul-Dec,yes,yes,yes,https://www.americanexpress.com/en-us/credit-cards/credit-intel/your-guide-to-the-amex-platinum-saks-credit/,,active,amex,personal,amex_platinum,amex_platinum_saks_fifth_avenue_credit
Amex Platinum,Airline Fee Credit,Up to $200/year,annual,calendar year,yes,yes,yes,https://www.americanexpress.com/en-us/credit-cards/credit-intel/using-your-american-express-platinum-airline-credit/,"Selected airline only; incidental fees only, not airfare.",active,amex,personal,amex_platinum,amex_platinum_airline_fee_credit
Amex Platinum,CLEAR Plus Credit,Up to $209/year,annual,calendar year,yes,yes,yes,https://www.americanexpress.com/en-us/travel/benefits/clear/,Annual CLEAR+ membership only.,active,amex,personal,amex_platinum,amex_platinum_clear_plus_credit
Amex Platinum,Hotel Credit (FHR / Hotel Collection),Up to $300 semiannually ($600/year),semiannual,Jan-Jun / Jul-Dec,no,yes,yes,https://www.americanexpress.com/en-us/travel/benefits/how-to-use-hotel-credit,Prepaid Amex Travel booking required; The Hotel Collection requires a 2-night minimum stay.,active,amex,personal,amex_platinum,amex_platinum_hotel_credit_fhr_hotel_collection
Amex Platinum,Uber One Credit,Up to $120/year,annual,calendar year,no,yes,yes,https://www.americanexpress.com/en-us/credit-cards/credit-intel/how-does-the-american-express-platinum-uber-credit-work/,Auto-renewing Uber One membership.,active,amex,personal,amex_platinum,amex_platinum_uber_one_credit
Amex Platinum,Oura Ring Credit,Up to $200/year,annual,calendar year,yes,yes,yes,https://www.americanexpress.com/en-us/credit-cards/credit-intel/american-express-platinum-shopping-benefits/,Purchases at Ouraring.com only.,active,amex,personal,amex_platinum,amex_platinum_oura_ring_credit
Amex Platinum,Global Entry / TSA PreCheck Credit,Up to $120 Global Entry or up to $85 TSA PreCheck,multi_year,every 4 years,no,yes,yes,https://www.americanexpress.com/en-us/benefits/travel/expedite-your-travel/,"Modeling question: backend currently stores this as annual, but the public benefit resets every 4 years.; modeled as multi_year/every 4 years for consistency with other Amex cards",active,amex,personal,amex_platinum,amex_platinum_global_entry_tsa_precheck_credit
Chase Sapphire Reserve,Annual Travel Credit,Up to $300/year,annual,card renewal anniversary,no,no,yes,https://account.chase.com/sapphire/reserve/benefits,Auto-applied to travel category purchases. Resets each account anniversary year not calendar year.,active,chase,personal,chase_sapphire_reserve,chase_sapphire_reserve_annual_travel_credit
Chase Sapphire Reserve,The Edit Credit,Up to $500/year (max $250/transaction),annual,calendar year,no,no,yes,https://account.chase.com/sapphire/reserve/benefits,Prepaid bookings via The Edit by Chase Travel only. 2-night minimum. Refreshed format starting Jan 1 2026; previously $250 Jan-Jun / $250 Jul-Dec semiannual.,active,chase,personal,chase_sapphire_reserve,chase_sapphire_reserve_the_edit_credit
Chase Sapphire Reserve,Select Chase Travel Hotel Credit,Up to $250/year,annual,calendar year,no,no,yes,https://account.chase.com/sapphire/reserve/benefits,"Prepaid Chase Travel bookings at IHG, Montage, Pendry, Omni, Virgin, Minor, Pan Pacific. 2-night min. Promo expires 12/31/26 — flag for re-research late 2026.",active,chase,personal,chase_sapphire_reserve,chase_sapphire_reserve_select_chase_travel_hotel_credit
